,0,1
280_0_-9_0,-0.00035247242642436906,-0.0004741013224808623
280_0_-8_0,-0.0003036628922537786,-0.000297465779978012
280_10_-7_0,-0.00030472265992986233,-0.00030690658692313945
280_20_-6_0,-0.0003629742565148926,-0.0007475409511351393
280_20_-5_0,-0.0003740788626413987,-0.00048183654978004996
280_30_-4_0,-0.00048541494047191767,-0.0006206063353956117
280_30_-3_0,-0.0005270808429174157,-0.0005968084121895997
280_30_-2_0,-0.0005895905702044543,-0.0006427279325023039
280_30_-1_0,-0.000639588820666985,-0.0007521978924633799
280_30_0_0,-0.0008593860107648592,-0.0012997676481121554
280_30_1_0,-0.0010607256576251202,-0.0012525728610576633
280_30_2_0,-0.0015972470088015487,-0.0015440089407411282
280_30_3_0,-0.002381627585293037,-0.0023185789702753323
210_20_4_0,-0.001522762409702435,-0.0020260765566719255
210_20_5_0,-0.00155315524786899,-0.002384552790382508
210_10_6_0,-0.0014505893624933274,-0.002721849587956847
210_0_7_0,-0.0007744147887807737,-0.0011091650837894366
210_0_8_0,-0.002342685059924911,-0.002811147486024936
210_-10_9_0,-0.0019172832037269401,-0.001504088030234765
210_-20_10_0,-0.000866104292122223,-0.0012649958918316603
210_-30_10_0,-0.0008747109176169976,-0.0009953861200250088
210_-40_10_0,-0.0011730327860707676,-0.0009469523583621825
210_-50_10_0,-449.73553166001324,-0.0010459469092173343
210_-60_10_0,-689.8900000000085,-76.53318851626832
210_-70_10_0,-9.431038169666172e-06,-1.08964825116003e-05
210_-80_10_0,-293.4944940832889,-1.412634303624821e-05
210_-90_10_0,-172.67223831977896,-690.8500000000078
210_-100_10_0,-698.1100000000016,-33.686142683897316
210_-110_10_0,0.0,0.0
210_-120_10_0,0.0,0.0
210_-130_10_0,-699.0700000000007,0.0
140_-140_10_0,-699.0700000000007,0.0
280_30_-9_0,-0.0015173354301760234,-0.0025539376316825245
280_40_-8_0,-0.0010573995674005756,-0.0015948715272407533
280_40_-7_0,-0.0013387110113804283,-0.001174908243126707
280_50_-6_0,-0.000893438186857901,-0.0009346845263223753
280_50_-5_0,-0.0009281034186004304,-0.0013826264266262726
280_60_-4_0,-0.00137874414302189,-0.0016188251166647483
280_60_-3_0,-0.0009610435567500221,-0.0012204288993341492
280_60_-2_0,-0.0009291747740017983,-0.0011450286768149714
280_60_-1_0,-0.0012658426674332615,-0.0014665379101448702
280_60_0_0,-0.0014691058550805075,-0.001544140424704139
280_60_1_0,-0.0018273895893910351,-0.002020546106943398
280_60_2_0,-0.002203224523863517,-0.0023374647491059956
280_60_3_0,-0.0032840590988424028,-0.004217146785166461
210_50_4_0,-0.006560823574413477,-0.0074730155291355335
210_50_5_0,-0.0058959372805130455,-0.006219037880747704
210_40_6_0,-0.007175926994058518,-0.019112851717755414
210_40_7_0,-0.007873856074413908,-0.007965179492678996
210_30_8_0,-0.0015806073090296271,-0.004672566815981251
210_20_9_0,-0.0007151590284832121,-0.004778863632765106
210_10_10_0,-0.0007541899976147241,-0.0018566004864491448
210_0_10_0,-0.0012384892686702156,-0.0013047795335356079
210_-10_10_0,-0.0015802869000851832,-0.001677396266954328
140_-110_10_0,-25.98399357836108,-757.9192329369323
280_50_-7_0,-0.0007463395142337534,-0.0009233166363734123
280_60_-5_0,-0.0009734828929137313,-0.0010071663607770104
280_70_-2_0,-0.0007967688209394809,-0.0008757722852421215
280_70_-1_0,-0.000742035719718519,-0.000808623894119358
280_70_0_0,-0.0010050944129050758,-0.0010624165981705078
280_70_1_0,-0.0012202729789635319,-0.0014828598820722644
210_60_4_0,-0.004439057057008657,-0.015315329407691307
210_50_6_0,-0.006144048134441232,-0.006172015109731057
140_-90_-9_0,0.0,0.0
140_-80_-8_0,0.0,0.0
140_-70_-7_0,0.0,0.0
140_-70_-6_0,0.0,0.0
140_-60_-5_0,0.0,0.0
140_-60_-4_0,0.0,0.0
140_-60_-3_0,0.0,0.0
140_-50_-2_0,0.0,0.0
140_-50_-1_0,0.0,0.0
140_-50_0_0,0.0,0.0
140_-50_1_0,0.0,0.0
140_-60_2_0,0.0,0.0
140_-60_3_0,0.0,0.0
140_-60_4_0,0.0,0.0
140_-70_5_0,0.0,0.0
140_-70_6_0,0.0,0.0
140_-80_7_0,0.0,0.0
130_-90_8_0,0.0,0.0
130_-100_9_0,-696.5800000000029,0.0
130_-110_10_0,-696.5800000000029,0.0
280_10_-8_0,-0.00037543590336390687,-0.0006784421700114977
280_30_-5_0,-0.00046002652601601795,-0.0005947459550017884
280_40_-1_0,-0.000861746322012395,-0.001531561417055165
280_40_0_0,-0.0009908990480405199,-0.0015745411704020632
210_30_4_0,-0.003587481691760011,-0.005011652833133559
210_10_7_0,-0.0012431471049139547,-0.006346173893105374
210_-90_-9_0,0.0,0.0
210_-80_-8_0,0.0,0.0
210_-80_-7_0,0.0,0.0
140_-60_-2_0,0.0,0.0
140_-60_1_0,0.0,0.0
140_-80_6_0,0.0,0.0
140_-90_8_0,0.0,0.0
140_-100_9_0,-444.5857686200177,0.0
130_-100_-9_0,0.0,0.0
130_-90_-8_0,0.0,0.0
130_-90_-7_0,0.0,0.0
120_-80_-6_0,0.0,0.0
120_-70_-5_0,0.0,0.0
110_-70_-4_0,0.0,0.0
110_-70_-3_0,0.0,0.0
110_-70_-2_0,0.0,0.0
100_-60_-1_0,0.0,0.0
100_-60_0_0,0.0,0.0
90_-70_1_0,0.0,0.0
90_-70_2_0,0.0,0.0
90_-70_3_0,0.0,0.0
80_-70_4_0,0.0,0.0
80_-80_5_0,0.0,0.0
70_-90_6_0,0.0,0.0
70_-90_7_0,0.0,0.0
70_-100_8_0,0.0,0.0
60_-110_9_0,-23.672632208997225,0.0
60_-120_10_0,-86.58462114101336,0.0
50_-130_10_0,-694.4800000000047,-671.5900000000241
50_-140_10_0,-694.4800000000047,-109.12022852959598
280_-60_-9_0,-3.829779581723847e-06,-3.9067147557746e-06
280_-60_-8_0,-1.8903400699048805e-06,-2.285365500148433e-06
280_-50_-7_0,-2.7616689628975703e-06,-4.091594456278886e-06
280_-40_-6_0,-4.744132995271531e-06,-8.180080643042909e-06
280_-40_-5_0,-4.138448039297642e-06,-5.949463700594751e-06
280_-30_-4_0,-8.183659496680998e-06,-1.8288093193123057e-05
280_-30_-3_0,-4.310940406392944e-06,-4.535007317306762e-06
280_-30_-2_0,-3.5395628523388647e-06,-1.596176807530931e-05
280_-30_-1_0,-4.262891761393191e-06,-6.205745688085677e-06
280_-30_0_0,-4.918173148115735e-06,-6.4864683559723025e-06
280_-30_1_0,-6.2137314026508835e-06,-1.1690663236747849e-05
280_-30_2_0,-1.0673715184725909e-05,-1.4843565022248988e-05
280_-30_3_0,-1.8839035272951688e-05,-9.470230964128972e-05
