,score,max_score
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,1,1
90,0,1
91,0,1
92,0,1
93,0,1
94,1,1
95,0,1
96,0,1
97,0,1
98,0,1
99,0,1
100,0,1
101,0,1
102,0,1
103,0,1
104,0,1
105,0,1
106,0,1
107,0,1
108,0,1
109,0,1
110,0,1
111,0,1
112,0,1
113,0,1
114,0,1
115,0,1
116,0,1
117,0,1
118,0,1
119,0,1
120,0,1
121,0,1
122,0,1
123,0,1
124,0,1
125,1,1
126,0,1
127,1,1
128,1,1
129,0,1
130,0,1
131,1,1
132,0,1
133,0,1
134,0,1
135,0,1
136,0,1
137,0,1
138,0,1
139,0,1
140,0,1
141,1,1
142,0,1
143,0,1
144,0,1
145,0,1
146,1,1
147,0,1
148,0,1
149,0,1
150,0,1
151,1,1
152,0,1
153,1,1
154,0,1
155,0,1
156,0,1
157,0,1
158,0,1
159,1,1
160,0,1
161,1,1
162,0,1
163,1,1
164,0,1
165,1,1
166,0,1
167,1,1
168,1,1
169,0,1
170,1,1
171,1,1
172,0,1
173,0,1
174,1,1
175,0,1
176,1,1
177,0,1
178,1,1
179,1,1
180,0,1
181,0,1
182,0,1
183,0,1
184,0,1
185,0,1
186,1,1
187,0,1
188,1,1
189,0,1
190,0,1
191,1,1
192,0,1
193,1,1
194,1,1
195,2,2
196,1,2
197,1,2
198,0,2
199,1,2
200,1,2
201,1,2
202,0,2
203,0,2
204,1,2
205,0,2
206,0,2
207,0,2
208,0,2
209,2,2
210,1,2
211,0,2
212,1,2
213,1,2
214,0,2
215,0,2
216,1,2
217,1,2
218,0,2
219,0,2
220,0,2
221,1,2
222,1,2
223,0,2
224,1,2
225,0,2
226,1,2
227,0,2
228,1,2
229,0,2
230,1,2
231,0,2
232,0,2
233,1,2
234,1,2
235,0,2
236,0,2
237,1,2
238,0,2
239,0,2
240,1,2
241,1,2
242,0,2
243,0,2
244,0,2
245,0,2
246,0,2
247,0,2
248,1,2
249,1,2
250,1,2
251,0,2
252,0,2
253,1,2
254,1,2
255,0,2
256,1,2
257,1,2
258,1,2
259,1,2
260,0,2
261,0,2
262,0,2
263,1,2
264,1,2
265,0,2
266,0,2
267,1,2
268,1,2
269,1,2
270,1,2
271,0,2
272,0,2
273,0,2
274,0,2
275,1,2
276,0,2
277,1,2
278,0,2
279,1,2
280,1,2
281,0,2
282,2,2
283,1,2
284,2,2
285,0,2
286,0,2
287,0,2
288,0,2
289,1,2
290,0,2
291,1,2
292,0,2
293,0,2
294,0,2
295,0,2
296,1,2
297,1,2
298,0,2
299,1,2
300,1,2
301,0,2
302,1,2
303,1,2
304,0,2
305,1,2
306,1,2
307,1,2
308,0,2
309,0,2
310,0,2
311,1,2
312,1,2
313,0,2
314,1,2
315,2,2
316,0,2
317,1,2
318,1,2
319,2,2
320,1,2
321,2,2
322,0,2
323,1,2
324,1,2
325,2,2
326,0,2
327,0,2
328,0,2
329,1,2
330,3,3
331,1,3
332,2,3
333,1,3
334,1,3
335,1,3
336,1,3
337,1,3
338,1,3
339,2,3
340,2,3
341,0,3
342,0,3
343,1,3
344,2,3
345,2,3
346,1,3
347,2,3
348,3,3
349,2,3
350,1,3
351,2,3
352,0,3
353,2,3
354,2,3
355,1,3
356,0,3
357,1,3
358,0,3
359,2,3
360,0,3
361,1,3
362,0,3
363,2,3
364,2,3
365,1,3
366,1,3
367,0,3
368,1,3
369,2,3
370,0,3
371,2,3
372,3,3
373,1,3
374,1,3
375,1,3
376,1,3
377,1,3
378,1,3
379,2,3
380,2,3
381,1,3
382,2,3
383,2,3
384,1,3
385,0,3
386,1,3
387,1,3
388,4,4
389,0,4
390,2,4
391,2,4
392,0,4
393,2,4
394,1,4
395,2,4
396,1,4
397,2,4
398,0,4
399,4,4
400,2,4
401,3,4
402,0,4
403,1,4
404,4,4
405,0,4
406,0,4
407,1,4
408,1,4
409,0,4
410,2,4
411,0,4
412,0,4
413,2,4
414,0,4
415,0,4
416,2,4
417,2,4
418,0,4
419,0,4
420,0,4
421,1,4
422,0,4
423,1,4
424,2,4
425,0,4
426,2,4
427,0,4
428,0,4
429,0,4
430,1,4
431,0,4
432,0,4
433,0,4
434,0,4
435,3,4
436,1,4
437,1,4
438,0,4
439,0,4
440,1,4
441,0,4
442,0,4
443,0,4
444,2,4
445,4,4
446,2,4
447,0,4
448,0,4
449,0,4
450,0,4
451,0,4
452,0,4
453,0,4
454,0,4
455,1,4
456,0,4
457,0,4
458,3,4
459,0,4
460,0,4
461,0,4
462,0,4
463,0,4
464,3,4
465,0,4
466,0,4
467,0,4
468,2,4
469,0,4
470,0,4
471,0,4
472,0,4
473,0,4
474,0,4
475,0,4
476,0,4
477,0,4
478,0,4
479,2,4
480,0,4
481,0,4
482,0,4
483,6,6
484,0,6
485,0,6
486,0,6
487,0,6
488,0,6
489,0,6
490,0,6
491,4,6
492,0,6
493,1,6
494,0,6
495,2,6
496,5,6
497,0,6
498,0,6
499,0,6
500,0,6
501,0,6
502,0,6
503,0,6
504,0,6
505,0,6
506,2,6
507,0,6
508,0,6
509,1,6
510,0,6
511,0,6
512,0,6
513,0,6
514,2,6
515,1,6
516,0,6
517,2,6
518,2,6
519,0,6
520,0,6
521,0,6
522,1,6
523,1,6
524,0,6
525,0,6
526,0,6
527,0,6
528,2,6
529,2,6
530,1,6
531,0,6
532,1,6
533,0,6
534,2,6
535,1,6
536,1,6
537,0,6
538,0,6
539,0,6
540,1,6
541,0,6
542,0,6
543,1,6
544,0,6
545,2,6
546,0,6
547,0,6
548,0,6
549,0,6
550,0,6
551,0,6
552,1,6
553,0,6
554,0,6
555,0,6
556,1,6
557,0,6
558,0,6
559,0,6
560,0,6
561,2,6
562,0,6
563,0,6
564,0,6
565,1,6
566,2,6
567,2,6
568,0,6
569,0,6
570,0,6
571,2,6
